num	id	mass	px	py	pz	vx	vy	vz	phi	metals	tform	eps
1	33554432	6.24805E-10	-0.38065	0.122575	-0.00233783	-0.0612719	1.43778	-0.0586175	-0.00581488	0.0	0.00937462	4.0E-5
2	33554433	6.24805E-10	0.1756	0.143767	-0.00632112	0.447272	0.685594	-0.144732	-0.00412096	0.0	0.00937462	4.0E-5
3	33554434	6.24805E-10	-0.380697	0.122541	-0.00242524	-0.289461	1.36513	-0.127797	-0.00579373	0.0	0.00937462	4.0E-5
4	33554435	6.25167E-10	0.104784	0.323059	0.40434	0.57079	-0.00979692	-0.321135	-0.0214899	0.0	0.00946083	4.0E-5
5	33554436	6.31428E-10	-0.441963	-0.493659	-0.3611	-0.756942	0.375603	-0.541632	-0.0156681	0.0	0.0108403	4.0E-5
6	33554437	6.33564E-10	-0.441828	-0.493338	-0.361136	-0.177091	0.717295	-0.934388	-0.0156209	0.0	0.0112714	4.0E-5
7	33554438	6.34875E-10	-0.316075	-0.0480504	-0.469276	-0.573616	-0.68303	0.232722	-0.00387455	0.0	0.01153	4.0E-5
8	33554439	6.35314E-10	-0.309204	-0.0639503	-0.467655	-0.900195	0.298955	0.31346	-0.00430503	0.0	0.0116162	4.0E-5
9	33554440	6.35752E-10	-0.441969	-0.49345	-0.361234	-0.087775	0.595273	-0.68043	-0.0155919	0.0	0.0117025	4.0E-5
10	33554441	6.36188E-10	-0.316234	-0.048445	-0.469305	0.250434	-0.344313	0.389246	-0.00402762	0.0	0.0117887	4.0E-5
11	33554442	6.37789E-10	-0.326139	0.207254	-0.242252	0.469705	-0.189934	0.580904	-0.0192436	0.0	0.0121335	4.0E-5
12	33554443	6.37789E-10	0.177338	0.342406	0.427698	0.0576789	0.0518593	0.138498	-0.0277588	0.0	0.0121335	4.0E-5
13	33554444	6.39858E-10	-0.442062	-0.493538	-0.3615	-0.340844	0.667845	0.355786	-0.0154164	0.0	0.0122198	4.0E-5
14	33554445	6.40177E-10	0.104403	0.322912	0.405395	0.622087	0.151055	0.34355	-0.0217444	0.0	0.012306	4.0E-5
15	33554446	6.4043E-10	-0.31611	-0.0479871	-0.469305	0.0377781	-0.358386	0.178925	-0.00383928	0.0	0.0123922	4.0E-5
16	33554447	6.4043E-10	0.104092	0.322959	0.405436	0.496815	0.481435	-0.071845	-0.0216703	0.0	0.0123922	4.0E-5
17	33554448	6.4057E-10	-0.325798	0.207943	-0.242565	0.253954	-0.055834	0.87242	-0.0191101	0.0	0.0124784	4.0E-5
18	33554449	6.4057E-10	0.177037	0.342167	0.427555	-0.927516	-0.0617973	-0.737623	-0.027194	0.0	0.0124784	4.0E-5
19	33554450	6.40503E-10	-0.441665	-0.493974	-0.360504	-0.533462	0.372735	0.121041	-0.0153109	0.0	0.0125646	4.0E-5
20	33554451	6.40503E-10	-0.447147	-0.491913	-0.363154	0.385245	0.377916	0.0718876	-0.0162518	0.0	0.0125646	4.0E-5
21	33554452	6.40503E-10	-0.447268	-0.491788	-0.363107	0.410384	0.607825	0.0409941	-0.016259	0.0	0.0125646	4.0E-5
22	33554453	6.40503E-10	-0.326443	0.207491	-0.241785	0.443968	-0.0840985	0.809061	-0.0191373	0.0	0.0125646	4.0E-5
23	33554454	6.39983E-10	-0.30517	0.219005	-0.255089	0.210521	-0.315105	1.19448	-0.0205251	0.0	0.0126508	4.0E-5
24	33554455	6.39983E-10	0.147085	0.357034	0.42699	0.537972	-0.82778	0.278495	-0.0242255	0.0	0.0126508	4.0E-5
25	33554456	6.3807E-10	-0.309234	-0.0637497	-0.467471	-0.718334	-0.191953	-0.242009	-0.00430551	0.0	0.0127371	4.0E-5
26	33554457	6.3807E-10	0.358928	-0.0953834	0.222235	-0.00261092	0.450634	-0.462921	-0.00956085	0.0	0.0127371	4.0E-5
27	33554458	6.3807E-10	0.103848	0.323037	0.405231	0.7852	0.187718	0.193654	-0.021486	0.0	0.0127371	4.0E-5
28	33554459	6.3807E-10	0.104331	0.322917	0.405406	0.467891	-0.27088	0.069078	-0.0217382	0.0	0.0127371	4.0E-5
29	33554460	6.45385E-10	-0.441839	-0.493573	-0.360789	-0.681101	0.684282	-0.342283	-0.0156722	0.0	0.0128233	4.0E-5
30	33554461	6.45385E-10	-0.361126	0.167963	-0.237776	0.677763	0.989559	0.75859	-0.0181377	0.0	0.0128233	4.0E-5
31	33554462	6.45385E-10	-0.316189	-0.0480071	-0.469427	-0.0454972	-0.877318	0.751838	-0.0038459	0.0	0.0128233	4.0E-5
32	33554463	6.45385E-10	-0.30949	-0.0639461	-0.467476	-0.148472	-1.02708	-0.0101588	-0.00418969	0.0	0.0128233	4.0E-5
33	33554464	6.45385E-10	0.177476	0.342253	0.427646	0.412885	0.207678	-0.443339	-0.0274838	0.0	0.0128233	4.0E-5
34	33554465	6.45662E-10	-0.326455	0.207326	-0.241924	0.0929389	-0.415403	1.05892	-0.0192158	0.0	0.0128664	4.0E-5
35	33554466	6.45907E-10	-0.361445	0.167798	-0.237929	0.498136	0.553567	1.04353	-0.0185354	0.0	0.0129095	4.0E-5
36	33554467	6.46181E-10	0.358207	-0.0947158	0.222393	0.321822	0.583522	-0.690726	-0.00939115	0.0	0.0129526	4.0E-5
37	33554468	6.46181E-10	-0.361611	0.168147	-0.238131	0.510712	0.0681422	0.907449	-0.0183252	0.0	0.0129526	4.0E-5
38	33554469	6.46449E-10	-0.361354	0.167756	-0.238105	0.0249724	0.25504	1.1178	-0.0185362	0.0	0.0129957	4.0E-5
39	33554470	6.46449E-10	-0.35395	0.144665	-0.212559	0.188366	0.592051	-0.486528	-0.0155693	0.0	0.0129957	4.0E-5
40	33554471	6.46708E-10	-0.309327	-0.0639298	-0.467633	-0.817858	0.49337	0.242085	-0.00431887	0.0	0.0130388	4.0E-5
41	33554472	6.46708E-10	0.177121	0.342383	0.427679	-0.439988	0.320048	-0.715073	-0.0277211	0.0	0.0130388	4.0E-5
42	33554473	6.47366E-10	-0.361323	0.16761	-0.237887	0.415688	0.481385	0.850449	-0.0182736	0.0	0.0131681	4.0E-5
43	33554474	6.47502E-10	-0.361051	0.16789	-0.238076	0.198409	0.464112	1.08848	-0.0182132	0.0	0.0132112	4.0E-5
44	33554475	6.47502E-10	0.104655	0.322841	0.405104	0.459748	0.111726	0.0405234	-0.0217714	0.0	0.0132112	4.0E-5
45	33554476	6.47502E-10	0.147457	0.357012	0.426834	0.201694	-0.666512	0.331324	-0.0241734	0.0	0.0132112	4.0E-5
46	33554477	6.47535E-10	-0.325798	0.207347	-0.242625	0.861078	0.438236	0.450208	-0.0189218	0.0	0.0132544	4.0E-5
47	33554478	6.47535E-10	0.177363	0.342398	0.427617	-0.0283715	0.506956	-0.247416	-0.0276896	0.0	0.0132544	4.0E-5
48	33554479	6.47377E-10	-0.447134	-0.491848	-0.363256	0.370688	0.0390732	-0.296327	-0.0162571	0.0	0.0132975	4.0E-5
49	33554480	6.47377E-10	-0.316174	-0.0482841	-0.469101	-0.491407	-0.726315	0.208619	-0.00398592	0.0	0.0132975	4.0E-5
50	33554481	6.47377E-10	-0.361433	0.167786	-0.237901	0.181919	-0.0629149	0.695415	-0.0185002	0.0	0.0132975	4.0E-5
51	33554482	6.47377E-10	0.147104	0.357136	0.426717	0.244842	-0.951192	0.368722	-0.0240909	0.0	0.0132975	4.0E-5
52	33554483	6.46472E-10	-0.353876	0.144707	-0.212542	0.360059	1.26026	-0.487484	-0.0156106	0.0	0.0133406	4.0E-5
53	33554484	6.46472E-10	-0.361483	0.167941	-0.237858	0.294775	0.59188	0.706036	-0.0184784	0.0	0.0133406	4.0E-5
54	33554485	6.46472E-10	-0.360672	0.168428	-0.238216	0.496398	1.20891	0.475507	-0.0174342	0.0	0.0133406	4.0E-5
55	33554486	6.46472E-10	0.177137	0.342496	0.427938	-1.15048	-0.0349421	-0.480299	-0.0276286	0.0	0.0133406	4.0E-5
56	33554487	6.46472E-10	0.177258	0.342211	0.427798	0.0900002	0.282755	-0.338363	-0.0274747	0.0	0.0133406	4.0E-5
57	33554488	6.51577E-10	-0.287819	0.170754	-0.188973	-0.211148	0.015141	-0.966996	-0.0190155	0.0	0.0133837	4.0E-5
58	33554489	6.51577E-10	-0.31595	-0.0485736	-0.46931	-0.31155	-0.360219	-0.203758	-0.00384792	0.0	0.0133837	4.0E-5
59	33554490	6.51577E-10	-0.361439	0.167959	-0.237897	0.115201	0.622972	0.898372	-0.0185162	0.0	0.0133837	4.0E-5
