num	id	mass	px	py	pz	vx	vy	vz	phi	metals	tform	eps
1	33554432	6.24805E-10	-0.38065	0.122575	-0.00233783	-0.0612719	1.43778	-0.0586175	-0.00581488	0.0	0.00937462	4.0E-5
2	33554433	6.24805E-10	0.1756	0.143767	-0.00632112	0.447272	0.685594	-0.144732	-0.00412096	0.0	0.00937462	4.0E-5
3	33554434	6.24805E-10	-0.380697	0.122541	-0.00242524	-0.289461	1.36513	-0.127797	-0.00579373	0.0	0.00937462	4.0E-5
4	33554435	6.25167E-10	0.104784	0.323059	0.40434	0.57079	-0.00979692	-0.321135	-0.0214899	0.0	0.00946083	4.0E-5
5	33554436	6.31428E-10	-0.441963	-0.493659	-0.3611	-0.756942	0.375603	-0.541632	-0.0156681	0.0	0.0108403	4.0E-5
6	33554437	6.33564E-10	-0.441828	-0.493338	-0.361136	-0.177091	0.717295	-0.934388	-0.0156209	0.0	0.0112714	4.0E-5
7	33554438	6.34875E-10	-0.316075	-0.0480504	-0.469276	-0.573616	-0.68303	0.232722	-0.00387455	0.0	0.01153	4.0E-5
8	33554439	6.35314E-10	-0.309204	-0.0639503	-0.467655	-0.900195	0.298955	0.31346	-0.00430503	0.0	0.0116162	4.0E-5
9	33554440	6.35752E-10	-0.441969	-0.49345	-0.361234	-0.087775	0.595273	-0.68043	-0.0155919	0.0	0.0117025	4.0E-5
10	33554441	6.36188E-10	-0.316234	-0.048445	-0.469305	0.250434	-0.344313	0.389246	-0.00402762	0.0	0.0117887	4.0E-5
11	33554442	6.37789E-10	-0.326139	0.207254	-0.242252	0.469705	-0.189934	0.580904	-0.0192436	0.0	0.0121335	4.0E-5
12	33554443	6.37789E-10	0.177338	0.342406	0.427698	0.0576789	0.0518593	0.138498	-0.0277588	0.0	0.0121335	4.0E-5
13	33554444	6.39858E-10	-0.442062	-0.493538	-0.3615	-0.340844	0.667845	0.355786	-0.0154164	0.0	0.0122198	4.0E-5
14	33554445	6.40177E-10	0.104403	0.322912	0.405395	0.622087	0.151055	0.34355	-0.0217444	0.0	0.012306	4.0E-5
15	33554446	6.4043E-10	-0.31611	-0.0479871	-0.469305	0.0377781	-0.358386	0.178925	-0.00383928	0.0	0.0123922	4.0E-5
16	33554447	6.4043E-10	0.104092	0.322959	0.405436	0.496815	0.481435	-0.071845	-0.0216703	0.0	0.0123922	4.0E-5
17	33554448	6.4057E-10	-0.325798	0.207943	-0.242565	0.253954	-0.055834	0.87242	-0.0191101	0.0	0.0124784	4.0E-5
18	33554449	6.4057E-10	0.177037	0.342167	0.427555	-0.927516	-0.0617973	-0.737623	-0.027194	0.0	0.0124784	4.0E-5
19	33554450	6.40503E-10	-0.441665	-0.493974	-0.360504	-0.533462	0.372735	0.121041	-0.0153109	0.0	0.0125646	4.0E-5
20	33554451	6.40503E-10	-0.447147	-0.491913	-0.363154	0.385245	0.377916	0.0718876	-0.0162518	0.0	0.0125646	4.0E-5
1000	33555431	7.10224E-10	-0.256484	0.226867	-0.203527	-0.131637	-0.071658	-0.0104871	-0.0193924	0.0	0.0170479	4.0E-5
